[2019-05-08 12:39:42,288](DEBUG) database.film: film lookup: 9
[2019-05-08 12:41:56,479](DEBUG) database.film: film lookup: 9
[2019-05-08 12:42:43,533](DEBUG) database.film: film lookup: 9
[2019-05-08 12:42:43,533](DEBUG) films.on_get: GET film 9
[2019-05-08 12:43:36,432](DEBUG) database.film: film lookup: 9
[2019-05-08 12:43:36,432](DEBUG) films.on_get: GET film 9
[2019-05-08 12:43:50,235](DEBUG) database.film: film lookup: 9
[2019-05-08 12:43:50,235](DEBUG) films.on_get: GET film 9
[2019-05-08 12:50:22,631](DEBUG) database.film: film lookup: 9
[2019-05-08 12:50:22,632](DEBUG) films.on_get: GET film 9
[2019-05-08 13:11:39,226] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:11:39,226] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:13:18,127] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:13:18,127] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:17:59,104] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:17:59,104] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:19:20,092] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:19:20,092] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:20:47,279] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:20:47,279] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:21:38,397] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:21:38,397] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:22:52,283] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:22:52,284] (DEBUG) films.on_get: GET film 9
[2019-05-08 13:32:07,192] (DEBUG) database.film: film lookup: 9
[2019-05-08 13:32:07,192] (DEBUG) films.on_get: GET film 9
[2019-05-08 14:44:52,717] (DEBUG) database.film: film lookup: 9
[2019-05-08 14:44:52,717] (DEBUG) films.on_get: GET film 9
[2019-05-08 14:45:09,609] (DEBUG) database.film: film lookup: 9
[2019-05-08 14:45:09,609] (DEBUG) films.on_get: GET film 9
[2019-05-08 14:45:55,719] (DEBUG) database.film: film lookup: 9
[2019-05-08 14:45:55,719] (DEBUG) films.on_get: GET film 9
[2019-05-08 15:42:34,522] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:42:34,522] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:42:48,467] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:42:48,468] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:43:08,503] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:43:08,503] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:44:07,416] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:44:07,416] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:44:34,033] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:44:34,033] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:45:40,683] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:45:40,683] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:45:40,728] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:45:53,489] (DEBUG) database.film: film lookup: 9
[2019-05-08 15:45:53,490] (DEBUG) films.get_film: GET film 9
[2019-05-08 15:45:53,540] (DEBUG) films.get_film: GET film 9
